division,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2024_01,2024_02,2024_03,2024_04,2024_05,2024_06,2024_07,2024_08,2024_09,2024_10,2024_11,2024_12,2025_01,2025_02,2025_03
Halāliʻi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawai‘i::Aamakao,8.23085379054435,3.9804385258851864,8.115847364083557,4.273072008386425,7.342855953336636,1.5710840155665535,3.331210528507012,0.7456854575704136,8.238076886945532,5.465772958050796,6.354706208260031,2.7326092578398553,9.126852678190172,6.803925959058534,2.628059674545664,2.344261241235674,7.829972607477753,5.599627089133517,2.465696296885408,5.528107359258374,1.9348098869818267,8.768821016661828,1.8595675202721746,1.6351274470190618,5.377000129169727,6.9566965162604415,7.575168641219874,5.999733654158199,4.476215423078894,3.0084977133755784,1.6472089197567767,1.9149825674244625,4.8219499397919625,17.234033127231115,3.209835687567254,10.30098281081866,12.432191230976823,7.45456241353101,5.529563187481852,3.387229891155824,2.1560954433510684,3.461170219012076,1.939332995819598,0.9295653358626403,6.865234875399252,5.611124929543785,5.776494205510104,5.724132427793055,0.6165550120255949,7.482704867456915,11.141290597724904,4.45497180683895,2.735475377954891,12.296624400054657,2.312407659658053,4.158963631783012,6.075921108254907,1.6516434579269645,6.995003746989598,0.5668802114914087,7.037647104036074
Hawai‘i::Alakahi,21.895015686515748,5.496173207841207,7.347131443774607,5.214624279753116,8.15076356422244,5.961364906291011,13.064902958907481,3.653848963459646,23.189406988188974,10.291895428354659,21.101451002706696,11.984248123769685,24.808993602362207,11.64190657808399,8.805395571891406,4.374526456897966,13.805762744012467,12.42422285104987,12.483811105643046,17.829072086204068,5.128342676037565,21.369086798720474,2.379524931820046,6.173302677985564,8.648416994750656,16.997416338582678,16.721169619422575,9.046616121227034,8.907119550729988,5.46510391035105,7.764904112327756,9.218270049007547,12.632116603100394,7.073012144233925,2.1055727180220636,38.2360641199147,13.989883222604988,10.660675289124017,11.404081569881889,6.355207308070867,7.62110015789042,7.4755244217519685,5.664773775836615,3.455350780737369,12.610448962434385,10.257611292240814,2.604378928036828,8.178894843955053,5.21358427913796,12.495602905593834,14.874684731791339,7.28325438812336,8.686247898211944,20.57466858390748,10.84338603182415,11.305262928559712,16.928139353674542,4.262864160412565,5.884695778994423,2.0551434214033795,10.705331877460631
Hawai‘i::Aleamai,20.36965060153614,5.456171539958873,6.661694830260476,4.7052921943106725,7.44985848631714,5.425166847735341,12.5942371827545,3.4613799190628516,22.65609346439117,9.816378238364736,20.127095929415074,11.84293903569671,23.172784554274468,10.862540040160996,8.040049223583381,3.9118392824187995,12.7444344725464,11.10008969215762,11.790885453283183,17.495498914686447,4.940315306656005,20.179496911030654,2.2402452912990367,6.002125863417464,7.858341590357846,15.922991620676322,15.341884754640047,8.27459998286347,8.082784817913387,5.100389444117337,7.220875039545838,8.533666415477363,12.292690556014483,6.567889493549635,2.000266247846949,36.97090964215411,12.829780707343222,9.83789295930294,9.958043650915705,5.802566305188415,6.538291905406355,6.834686588248735,5.352861470929415,3.0890544809828464,11.03337325449065,9.345889869235096,2.478114880110201,7.623183912313696,4.784641330234112,11.751141886072835,13.678239408306386,6.71867997091184,8.004074869059336,18.39544959223847,10.016077854770108,10.665163055179626,16.519452707571713,3.9851847971518213,5.782983563211825,1.9230718795038315,9.927230165565243
Hawai‘i::Alia,22.55137988936279,4.971132809652049,7.853860796697289,5.556284631087781,8.26605617982648,6.187854142743877,12.572965936224119,3.8339255648057016,22.495098675816568,10.26492426158319,20.588672957221497,11.517482433836397,25.224549568022752,11.628084758448162,9.038376428532372,4.7493275986986,13.834951539260718,13.272848543671625,12.527467066291194,16.451370092410325,5.1841869782553225,22.039665696084864,2.426995972427275,6.042384350393701,9.085310665919364,15.873704466954653,17.09363722112861,9.392484996992565,9.04767498951954,5.456705657967885,7.867822165946706,9.635423786544912,12.847395947251385,7.20909886264217,2.096758575750948,37.76006352070575,14.597829405438905,11.242252148494458,12.546052796460339,6.568546200605134,8.475572124936207,7.651323044254886,5.6008009578229805,3.725892092264509,14.428018885334646,10.438162291074292,2.660012143664334,8.695997147491981,5.382907051983086,12.115630525025518,14.75767494395232,7.409933540208517,8.787741050597843,22.67243775517644,11.093851814258896,11.426279641477109,16.702237578375623,4.410451297754448,5.826841428350102,2.1671011928359216,11.042827206820503
Hawai‘i::Alilipali,13.136743260180857,10.232833501860853,5.9935778520238685,1.639880683478408,6.219137597271777,2.7919595072588583,2.928943784218135,2.02745933232345,9.604095699280267,5.053938017116757,9.075541458730623,5.147738719549705,14.691419225978102,8.334841390294354,4.466152040977178,1.9599072013314316,6.016117606576034,7.33685591089444,4.9366477906234625,9.98042669821912,2.420642131895531,13.029305765947958,1.9009546595295583,2.8769041046382875,6.67240172859252,9.487928255336492,8.76555074856976,4.253431305171937,4.1711966447004185,1.9549778315025992,2.3628643366295523,5.363677017332062,7.3962258166215555,8.212876207246556,2.0939942607729454,16.841165137103225,12.579485074741635,7.554414403720165,6.296025073434425,1.4545649430883214,6.016556146576649,3.6199888094203683,1.7078648965189778,1.416108138917938,12.810820331723672,5.416999876968505,1.7036942609651822,5.725601076141118,3.525988961767963,6.486431932824804,4.792891975462906,2.5815432090458907,3.816603412778359,16.5665153443344,4.616505480188085,4.537169088528851,8.898404339167078,1.3161393413393516,4.748598834661048,0.950190326360267,7.916415957953987
Hawai‘i::Hakalau,31.677720104454853,5.053643741243705,11.170222110644108,8.05182258414911,13.610580930339788,9.354428247144783,17.22127408535504,4.468663268337235,34.643901406327586,13.169694516120453,27.183592918706108,14.686798942150812,35.614982908597575,14.909078616017593,12.50677643071221,6.7558215511279,19.294117875257147,19.20524008876002,18.58396012892814,24.044416586862454,6.995835494697453,27.135544131730157,3.230677543315954,6.898055243358517,12.971933855607578,19.620521265606158,24.514383046924877,12.41616123998014,14.395100686316239,7.496958849843939,10.262317558700435,12.58566206462368,16.82616564029581,10.390553647274244,2.6085181438204943,47.34688674895368,22.34323459778676,12.99600258476981,18.205746346740444,9.115300324315458,18.711188273657516,11.880697134142016,7.741173598549337,4.459533236792403,19.357201997765483,10.9692803655033,3.2133360599773004,11.190090034670497,8.722705850535576,15.750497667943534,19.68249561076825,10.084008482522878,12.876336443480882,33.52156875133007,17.334810819677948,13.676161705504718,24.939581559906365,4.881913317106477,6.482221948818898,2.6514329982664755,15.698753779616233
Hawai‘i::Halawa,7.072252842506903,3.753491717743379,6.307283544457512,3.580011815817057,5.256643001744811,1.806637379445112,3.276308018537811,0.5348309954686062,7.135149698972287,4.914235463109725,5.563124744350139,2.578185417252531,8.489179220140096,5.94874709597735,3.095561818533337,1.9761282447559823,6.790523199426066,5.084692005828817,2.3978064642665404,5.16359793626649,1.712276366288731,8.928734205631967,1.6855336181565728,1.5748020261449918,4.977718516719501,6.532726777405666,6.623261780665201,5.085506390447644,3.861011958022293,2.6744625560831885,2.019861098239851,2.024847893325302,4.330547382305196,15.202956031419369,3.044214643624093,9.8248568760226,10.73205537695572,6.348474129831783,5.207651600368136,2.982634983127109,1.135717521282851,3.000297043169675,1.7733750605171157,1.0827116181677574,6.877621409717252,5.028207367189896,4.655637139373914,3.9645818586863433,0.807796641719501,6.131771925171286,9.07468331373351,3.754655124341702,2.7922617183505474,10.371978538194089,2.401385063017691,4.066408646717456,5.5699568870475,1.4906866056249362,6.299623535605635,0.5469189398200225,6.115767844360365
Hawai‘i::Halelua,6.198344426045517,3.502627444309417,5.278053535021292,3.2486803930479677,4.347590183342038,1.9991266568450707,3.2170439187916804,0.4276066847060552,6.924444851759602,4.471102271186526,5.051987476523582,2.5170408037722964,7.710933106017998,5.246545545506589,3.1087501129881083,1.7807208390245863,6.179121931745139,5.042721274656516,2.384754483117066,5.250005021693718,1.6445064161552911,8.50435443616423,1.5651170674501347,1.5076909593192593,4.543674768751004,6.1328517319821625,5.880737206607544,4.570258752184437,3.5924110124487787,2.5535887298755626,2.127702220467419,2.1121188848324763,4.171036063293427,13.444906998232366,2.8690819339546842,9.2688351177085,9.526139642003455,5.5934017769263225,4.90813909840511,2.6739803058588105,1.141829774940242,2.8731881493677687,1.684624256475474,1.1725437091359676,6.6838115659649695,4.533410505257714,3.9907643206150576,3.319318361571991,0.8809727946604331,5.307163273466374,7.782496164681424,3.3818510025811506,2.9091497534976103,10.021725102442552,2.44489260009491,3.9900094972782423,5.457388417965612,1.3619943625210913,5.820592616352644,0.5104213777738581,5.455265967730596
Hawai‘i::Hanaula,5.924084081448418,3.1734603039269773,5.10615678600983,3.133885499210091,4.049356151496439,1.5807883233314737,2.683240524223883,0.7872299086432369,4.67233754357039,4.000981803093184,5.238173205620894,2.217821974208837,7.3534088540360605,5.218488166250816,2.508679548795702,1.6124768924124833,5.705194789420232,4.401786777797282,1.7962982898622049,3.3344028388146345,1.2241130614389513,7.769738718717087,1.533870933299689,1.3475786206523648,4.246043694988465,5.747930112624756,5.505862215695371,4.523119244163449,2.9305850128046798,2.313965798811375,1.6402322003987162,1.9254945846550733,3.2049650849152416,14.478669708235119,2.985894086338332,9.170918567255129,9.438339670369627,6.771270539207081,4.4533943762851695,2.854479355393325,0.9253578027240897,2.284737982095391,1.4608293086883746,0.9075506221710593,5.933455437521942,4.428486375633182,4.73445963313105,2.9628966982107934,1.0012310006457195,5.219916840112343,7.532976065280356,3.377029921730027,2.521814581348112,9.037783991173079,1.988366887169931,3.312752087225413,4.406793258500929,1.1654471920607856,6.075166954523798,0.5016620271907443,5.320295749692813
