division_full,date,D4,D3,D2,D1,D0,Near Normal,W0,W1,W2,W3,W4
"Hawaiʻi::Ahalanui, Laepaoʻo",2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Alaeakila, Kaapahu",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Alakahi,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,63.888888888888886,36.11111111111111,0.0,0.0,0.0
Hawaiʻi::Aleamai,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,94.23076923076923,5.769230769230769,0.0,0.0,0.0
"Hawaiʻi::Anapuka, Hoʻopūloa",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28491620111732,88.71508379888267
"Hawaiʻi::Apuakohau, Kukuiwaluhia",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Au 1-2, Āhualoa",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Awakeʻe,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67226890756302,19.327731092436977
Hawaiʻi::Awalua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Haina,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03703703703704,62.96296296296296,0.0
Hawaiʻi::Hakalau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,17.82178217821782,82.17821782178217,0.0,0.0,0.0
Hawaiʻi::Halaʻula,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Halelua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Halelua, Wailoa, Kumu",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61354581673307,3.386454183266932,0.0
Hawaiʻi::Haleohiu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Halepuaʻa, Kanekiki",2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Hamanamana,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Hanapai, Niupuka",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Hauola,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Haʻikū,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,71.42857142857143,28.57142857142857,0.0,0.0,0.0
Hawaiʻi::Hionamoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.51239669421489,21.487603305785125,0.0
"Hawaiʻi::Honalo, Māʻihi 1-2",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honohina,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,14.736842105263156,85.26315789473684,0.0,0.0,0.0
Hawaiʻi::Honoipu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honokaia,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.484662576687114,30.061349693251532,52.45398773006135,0.0
Hawaiʻi::Honokua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honokāne,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honokōhau 1-3,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honolulu,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Honomainoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Honomakaʻu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Honomū, Kuhua",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,84.58781362007169,15.412186379928317,0.0,0.0,0.0
Hawaiʻi::Honopue,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honopueo,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honuaʻula 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honuaʻula 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Honuʻapo,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Hoʻokena,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Hulunanai,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Humuʻula,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.68854568854569,34.31145431145431,0.0,0.0
"Hawaiʻi::Hālawa, Napapaʻa",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Hāwī,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
