island,division_type,name,date,value
Hawai‘i,watershed,Kealahewa,2021-04,2.8861473370516184
Hawai‘i,watershed,Hualua,2021-04,3.459861995417715
Hawai‘i,watershed,Kumakua,2021-04,4.455202704711199
Hawai‘i,watershed,Kapua,2021-04,3.932770048830777
Hawai‘i,watershed,Ohanaula,2021-04,3.812338521161417
Hawai‘i,watershed,Māhukona,2021-04,2.484452480815125
Hawai‘i,watershed,Hanaula,2021-04,5.218488166250816
Hawai‘i,watershed,Hapahapai,2021-04,5.440106729822835
Hawai‘i,watershed,Pali Akamoa,2021-04,4.70426434463833
Hawai‘i,watershed,Halelua,2021-04,5.246545545506589
Hawai‘i,watershed,Wainaia,2021-04,6.057577226168863
Hawai‘i,watershed,Halawa,2021-04,5.94874709597735
Hawai‘i,watershed,Aamakao,2021-04,6.803925959058534
Hawai‘i,watershed,Niuliʻi,2021-04,6.808817873809263
Hawai‘i,watershed,Waikama,2021-04,7.109974051161152
Hawai‘i,watershed,Pololū,2021-04,8.236432422154618
Hawai‘i,watershed,Honokāne Nui,2021-04,9.997782370598562
Hawai‘i,watershed,Lapakahi,2021-04,2.8405762430737824
Hawai‘i,watershed,Honokāne Iki,2021-04,10.872392547235682
Hawai‘i,watershed,Kalele,2021-04,7.113319056553478
Hawai‘i,watershed,Waipahi,2021-04,9.31537690978436
Hawai‘i,watershed,Honokeʻā,2021-04,10.96080431541931
Hawai‘i,watershed,Kāʻilikaula,2021-04,11.030619463582678
Hawai‘i,watershed,Honopue,2021-04,11.972554165676758
Hawai‘i,watershed,Kōlealiʻiliʻi,2021-04,10.586348279501657
Hawai‘i,watershed,Ohiahuea,2021-04,12.084932441234368
Hawai‘i,watershed,Keawanui,2021-04,2.2098662398492595
Hawai‘i,watershed,Nakooko,2021-04,11.799036595034996
Hawai‘i,watershed,Waiʻāpuka,2021-04,11.137709730253446
Hawai‘i,watershed,Waikaloa,2021-04,11.779577039113317
Hawai‘i,watershed,Waimaile,2021-04,10.110609509216179
Hawai‘i,watershed,Kukui,2021-04,9.84619008047957
Hawai‘i,watershed,Paopao,2021-04,10.63722305097605
Hawai‘i,watershed,Waiaalala,2021-04,9.766645227696149
Hawai‘i,watershed,Punalulu,2021-04,10.27600228726736
Hawai‘i,watershed,Kaimu,2021-04,10.65382511571611
Hawai‘i,watershed,Pae,2021-04,9.737302124343833
Hawai‘i,watershed,Waimanu,2021-04,10.26341677993376
Hawai‘i,watershed,Pūkoʻa,2021-04,8.316128467950294
Hawai‘i,watershed,Manuwaikaalio,2021-04,8.360683170829233
Hawai‘i,watershed,Naluea,2021-04,8.69949596519786
Hawai‘i,watershed,Kahoʻopuʻu,2021-04,8.470362619561378
Hawai‘i,watershed,Waipāhoehoe,2021-04,8.251136118971457
Hawai‘i,watershed,Wailoa/Waipio,2021-04,8.684444444444445
Hawai‘i,watershed,Waipunahoe,2021-04,4.948729984119632
Hawai‘i,watershed,Waikoekoe,2021-04,7.24528861741547
Hawai‘i,watershed,Waiʻaleʻale,2021-04,7.177625787235317
