date,division_full,D4,D3,D2,D1,D0,Near Normal,W0,W1,W2,W3,W4
2026-03,"Hawaiʻi::Ahalanui, Laepaoʻo",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2026-03,"Hawaiʻi::Alaeakila, Kaapahu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2026-03,Hawaiʻi::Alakahi,0.0,0.0,0.0,0.0,0.0,0.0,63.888888888888886,36.11111111111111,0.0,0.0,0.0
2026-03,Hawaiʻi::Aleamai,0.0,0.0,0.0,0.0,0.0,0.0,94.23076923076923,5.769230769230769,0.0,0.0,0.0
2026-03,"Hawaiʻi::Anapuka, Hoʻopūloa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28491620111732,88.71508379888267
2026-03,"Hawaiʻi::Apuakohau, Kukuiwaluhia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-03,"Hawaiʻi::Au 1-2, Āhualoa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2026-03,Hawaiʻi::Awakeʻe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67226890756302,19.327731092436977
2026-03,Hawaiʻi::Awalua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-03,Hawaiʻi::Haina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03703703703704,62.96296296296296,0.0
2026-03,Hawaiʻi::Hakalau,0.0,0.0,0.0,0.0,0.0,0.0,17.82178217821782,82.17821782178217,0.0,0.0,0.0
2026-03,Hawaiʻi::Halaʻula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-03,Hawaiʻi::Halelua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-03,"Hawaiʻi::Halelua, Wailoa, Kumu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61354581673307,3.386454183266932,0.0
