date,division_full,D4,D3,D2,D1,D0,Near Normal,W0,W1,W2,W3,W4
2026-03,Hawaiʻi::Hawaiʻi Mauka,0.0,0.0,0.0,0.0,0.0,0.0,0.6473338346356295,16.650864746460915,29.201948540229512,38.04557491744859,15.454277961225356
2026-03,Hawaiʻi::Hilo,0.0,0.0,0.0,0.0,0.0,16.84165806882321,25.15425542675649,54.49414335133823,0.022253241892739372,0.042483461795229716,3.4452064493941053
2026-03,Hawaiʻi::Kaʻu,0.0,0.0,0.0,0.0,0.0,0.0,0.5019911380335408,16.111391553087667,38.29154747882663,26.434460710079083,18.660609119973078
2026-03,Hawaiʻi::Kona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.589876125122538,88.41012387487747
2026-03,Hawaiʻi::Leeward Kohala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.54857596506897,29.3341272204029,18.011312890741294,16.10598392378684
2026-03,Hawaiʻi::Windward Kohala,0.0,0.0,0.0,0.0,0.0,4.19858291842206,11.193029490616622,36.197816928379936,6.711987744159326,14.175603217158178,27.522979701263882
2026-03,Kauaʻi::Leeward Kauaʻi,0.0,0.0,0.0,0.0,0.0,6.581316263252651,6.80136027205441,77.66553310662133,8.331666333266654,0.5601120224044809,0.060012002400480095
2026-03,Kauaʻi::Windward Kauaʻi,0.0,0.0,0.0,0.0,0.0,30.932830798223183,16.61731053977655,31.612599273118857,8.460088841028403,5.552564275137973,6.824606272715035
2026-03,Maui::Leeward Maui Nui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14228124258951863,0.7351197533791795,9.764050272705715,89.35854873132558
2026-03,Maui::Windward Maui Nui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1975929585054787,0.6107418717442069,1.5029040177234896,97.68876115202683
2026-03,Oʻahu::Koʻolau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123064673095638,5.2906308059807134,10.873219499247986,80.71308502167565
2026-03,Oʻahu::Waianae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
