month,D4 Exceptional Drought,D3 Extreme Drought,D2 Severe Drought,D1 Moderate Drought,D0 Abnormally Dry,Near Normal,W0 Abnormally Wet,W1 Moderately Wet,W2 Severely Wet,W3 Extremely Wet,W4 Exceptionally Wet
01,0.0,0.5614914769274575,6.05938544983558,15.277637916126993,12.942430629585774,45.385317883347284,14.037981408624814,5.164888205206557,0.5708670303455412,0.0,0.0
02,7.288624675762111,12.130229909404374,9.648833438084887,14.780386342249368,12.348298337054619,41.371539292249885,2.13658445116552,0.2836973015768292,0.011806252452401704,0.0,0.0
03,0.0,0.0,2.0129660431344907,19.478580332866873,12.441359385797078,58.41594816360688,6.470868072073699,1.180278002520982,0.0,0.0,0.0
04,4.878412961876222,12.708389036852868,9.287353767409883,14.99498234270773,12.284058434004786,40.262446047162506,3.9203702996357426,1.6639871103502637,0.0,0.0,0.0
05,0.5246837486934993,5.312813603580767,8.08103256094978,15.47869145053701,8.952959028831563,49.38242882392363,7.664688540643024,4.470402766829987,0.13229947601073674,0.0,0.0
06,2.967536278183087,4.839521777327134,6.11424979946733,10.744731459843116,6.417045450599515,35.542375765236145,12.022931909175194,13.947351058916672,4.992655816489168,2.1942267425507755,0.21737394221186668
07,0.294461825871666,2.6237659861866844,5.934725313646986,19.767486275231523,13.174736008722737,52.22009632513031,3.369296104283934,1.7358663532222387,0.4062739814502939,0.4628745446779845,0.010417281575648562
08,2.2685366844570685,7.681008948444873,11.046485382817735,28.665580954431334,17.310744036974405,29.695850102262984,1.8660823729178457,0.8240069726338013,0.2691131073709212,0.164245806176059,0.20834563151297128
09,1.4382793428778784,6.269120052225305,13.481351329765992,29.17706947979568,20.897761326189393,27.064097533534966,0.5330175739540182,0.62781483629242,0.1760520586284607,0.10139487400297935,0.23404159273290437
10,2.759190646670116,5.5239371768472445,8.669261727254733,30.691742220894984,18.383724039266205,31.262956493959713,1.9337947031595617,0.32988058322887115,0.10729800022918021,0.13195223329154845,0.20626217519784154
11,0.5715615157839178,3.6696610563818,5.631582419795613,12.921596066434477,17.863554445922155,54.89733769007198,2.234854140695805,1.6369021782535773,0.09097759242733078,0.10833972838674505,0.3736331658465951
12,4.648191039054388,5.011059680606147,8.432442192768324,33.51204758614224,17.311438522412782,26.302247007635867,2.779677967102225,1.379595323335058,0.10347833031810905,0.1142428546129459,0.4055794960119174
